BSSID,recordDate,latitude,longitude,accuracy,RSSI,ssid,securityType,Channel,frequency,capabilities,totalSurveys,inconsistentLocation,SNR,Estimated_Distance,AP_Load,Congestion_Level,Throughput,Packet_Loss,Latency,Jitter,Optimal_AP,Optimal_Rate,distance_moved,Mobility_Flag,Recovered_From_Disconnect,Avg_Neighbor_RSSI,Avg_Throughput_BSSID,Avg_PacketLoss_BSSID,Fairness_Index,Best_AP_Label,Composite_Score
e4:75:dc:0a:19:49,1970-01-01 00:27:59.085588970,52.2511583333333,-2.88292666666667,8.60000038146973,-71,BT-NJAKHX,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],28,0,19,23.263050671536263,18,175750.0,2.0,99,52794.5,2.69,0,36,34.06672751119631,True,False,-79.48198089734329,2.0,99.0,0.4448582420192499,AP37,0.2470985436704549
6a:75:dc:0a:19:4a,1970-01-01 00:27:59.085588970,52.2511583333333,-2.88292666666667,8.60000038146973,-72,BTWi-fi,OPEN,0,2462,[ESS],35,0,18,25.118864315095795,9,175750.0,3.6,91,52790.5,5.91,0,36,0.0,False,False,-79.48190063407978,3.6,91.0,0.4448582420192499,AP33,0.21903972452939835
48:a4:72:5a:e3:53,1970-01-01 00:27:59.085609333,52.250735,-2.88316,2.29999995231628,-78,LR086458,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],0,0,12,39.81071705534973,16,175750.0,1.41,100,52795.0,8.44,0,6,49.6801912132986,True,False,-79.48141905449876,1.41,100.0,0.4448582420192499,AP16,0.10907336826781067
da:7d:7f:f0:b5:99,1970-01-01 00:27:59.085644730,52.25018,-2.88507166666667,2.5,-91,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],5,0,-1,107.97751623277094,6,101250.0,0.0,100,30445.0,7.48,1,54,144.0276269489014,True,False,-79.4803756320732,0.0,100.0,0.4448582420192499,AP21,0.14125802092282858
da:7d:7f:f0:b5:98,1970-01-01 00:27:59.085644730,52.25018,-2.88507166666667,2.5,-90,BTWi-fi,OPEN,2,5180,[ESS],5,0,0,100.0,5,101250.0,0.0,100,30445.0,1.52,1,48,0.0,False,False,-79.4804558953367,0.0,100.0,0.4448582420192499,AP38,0.25502975183741666
d8:7d:7f:f0:b4:9b,1970-01-01 00:27:59.085644731,52.25018,-2.88507166666667,2.5,-91,BTHub6-895S,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],5,0,-1,107.97751623277094,8,101250.0,0.0,100,30445.0,6.36,1,12,0.0,False,False,-79.4803756320732,0.0,100.0,0.4448582420192499,AP24,0.1619987616635693
26:20:c7:7b:38:ff,1970-01-01 00:27:59.085675217,52.2501966666667,-2.88743,2.29999995231628,-78,BTWi-fi,OPEN,0,2437,[ESS],4,0,12,39.81071705534973,27,175750.0,0.86,100,52795.0,5.84,0,24,160.5546306176214,True,False,-79.48141905449876,0.86,100.0,0.4448582420192499,AP23,0.15247931948545357
26:20:c7:7b:37:fc,1970-01-01 00:27:59.085675217,52.2501966666667,-2.88743,2.29999995231628,-91,BTWi-fi,OPEN,2,5180,[ESS],3,0,-1,107.97751623277094,6,101250.0,0.0,100,30445.0,6.89,1,36,0.0,False,False,-79.4803756320732,0.0,100.0,0.4448582420192499,AP23,0.1521839468487545
26:20:c7:7b:37:fd,1970-01-01 00:27:59.085675218,52.2501966666667,-2.88743,2.29999995231628,-91,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],4,0,-1,107.97751623277094,23,101250.0,0.0,100,30445.0,7.91,1,18,0.0,False,False,-79.4803756320732,0.0,100.0,0.4448582420192499,AP20,0.13329505795986563
24:20:c7:7b:36:ff,1970-01-01 00:27:59.085675218,52.2501966666667,-2.88743,2.29999995231628,-91,BTHub6-SWFG,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0,-1,107.97751623277094,9,101250.0,0.0,100,30445.0,3.68,1,18,0.0,False,False,-79.4803756320732,0.0,100.0,0.4448582420192499,AP31,0.21162839129319896
20:47:ed:b7:0e:4e,1970-01-01 00:27:59.085680296,52.2501966666667,-2.88743,2.29999995231628,-89,SKYSVRFZ,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0,1,92.61187281287933,16,175750.0,0.12,100,52795.0,9.09,0,6,0.0,False,False,-79.4805361586002,0.12,100.0,0.4448582420192499,AP7,0.048498757898284915
50:70:43:78:87:d5,1970-01-01 00:27:59.085680296,52.2501966666667,-2.88743,2.29999995231628,-87,SKY1HMXJ,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0,3,79.43282347242814,13,101250.0,0.43,100,30445.0,7.46,1,72,0.0,False,False,-79.48069668512721,0.43,100.0,0.4448582420192499,AP24,0.15894136925210112
62:6c:9a:7a:c1:7a,1970-01-01 00:27:59.085680296,52.2501966666667,-2.88743,2.29999995231628,-89,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],1,0,1,92.61187281287933,19,101250.0,0.1,100,30445.0,1.42,1,6,0.0,False,False,-79.4805361586002,0.1,100.0,0.4448582420192499,AP39,0.2611451818572144
ec:6c:9a:7a:c1:78,1970-01-01 00:27:59.085680297,52.2501966666667,-2.88743,2.29999995231628,-90,BT-F8AKHW,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0,0,100.0,7,101250.0,0.0,100,30445.0,8.28,1,6,0.0,False,False,-79.4804558953367,0.0,100.0,0.4448582420192499,AP19,0.12984456665223146
62:6c:9a:7a:c1:79,1970-01-01 00:27:59.085680297,52.2501966666667,-2.88743,2.29999995231628,-90,BTWi-fi,OPEN,2,5180,[ESS],1,0,0,100.0,18,101250.0,0.0,100,30445.0,4.87,1,6,0.0,False,False,-79.4804558953367,0.0,100.0,0.4448582420192499,AP29,0.1929927148003796
62:86:20:8e:1c:19,1970-01-01 00:27:59.085685392,52.2501966666667,-2.88743,2.29999995231628,-73,BTWi-fi,OPEN,0,2437,[ESS],1,0,17,27.12272579332028,29,175750.0,1.13,100,52795.0,3.06,0,48,0.0,False,True,-79.48182037081628,1.13,100.0,0.4448582420192499,AP33,0.22329559127208967
30:24:78:fe:96:20,1970-01-01 00:27:59.085685392,52.2501966666667,-2.88743,2.29999995231628,-74,BTHub6-PS3C,WPA2,0,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0,16,29.28644564625236,9,175750.0,3.2,93,52791.5,8.4,0,6,0.0,False,False,-79.48174010755277,3.2,93.0,0.4448582420192499,AP23,0.1573828495716542
32:24:78:fe:98:21,1970-01-01 00:27:59.085685393,52.2501966666667,-2.88743,2.29999995231628,-75,BTWi-fi,OPEN,0,2437,[ESS],3,0,15,31.6227766016838,12,175750.0,2.31,97,52793.5,8.5,0,300,0.0,False,False,-79.48165984428927,2.31,97.0,0.4448582420192499,AP20,0.13386755579783385
f0:86:20:8e:1c:18,1970-01-01 00:27:59.085685393,52.2501966666667,-2.88743,2.29999995231628,-74,BT-QQA6J9,WPA2,0,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0,16,29.28644564625236,20,175750.0,1.52,100,52795.0,2.42,0,300,0.0,False,False,-79.48174010755277,1.52,100.0,0.4448582420192499,AP35,0.23510873131226392
7a:86:20:8e:1c:11,1970-01-01 00:27:59.085685393,52.2501966666667,-2.88743,2.29999995231628,-87,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],1,0,3,79.43282347242814,17,101250.0,0.33,100,30445.0,2.64,1,24,0.0,False,False,-79.48069668512721,0.33,100.0,0.4448582420192499,AP37,0.24733841088763212
f0:86:20:8e:1c:17,1970-01-01 00:27:59.085685394,52.2501966666667,-2.88743,2.29999995231628,-88,BT-QQA6J9,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0,2,85.76958985908941,20,101250.0,0.19,100,30445.0,7.53,1,48,0.0,False,False,-79.48061642186372,0.19,100.0,0.4448582420192499,AP23,0.15217439011463937
ea:ad:a6:e7:7b:fe,1970-01-01 00:27:59.085685394,52.2501966666667,-2.88743,2.29999995231628,-88,BTWi-fi,OPEN,2,5180,[ESS],1,0,2,85.76958985908941,7,101250.0,0.5,100,30445.0,5.45,1,24,0.0,False,False,-79.48061642186372,0.5,100.0,0.4448582420192499,AP29,0.19336578326671539
7a:86:20:8e:1c:10,1970-01-01 00:27:59.085685394,52.2501966666667,-2.88743,2.29999995231628,-88,BTWi-fi,OPEN,2,5180,[ESS],1,0,2,85.76958985908941,11,101250.0,0.33,100,30445.0,8.8,1,12,0.0,False,False,-79.48061642186372,0.33,100.0,0.4448582420192499,AP19,0.12986297626934035
ea:ad:a6:e7:7b:ff,1970-01-01 00:27:59.085685395,52.2501966666667,-2.88743,2.29999995231628,-90,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],1,0,0,100.0,24,101250.0,0.0,100,30445.0,1.79,1,18,0.0,False,False,-79.4804558953367,0.0,100.0,0.4448582420192499,AP37,0.25002975183741666
e8:ad:a6:e7:7a:fd,1970-01-01 00:27:59.085685395,52.2501966666667,-2.88743,2.29999995231628,-88,BTHub6-N6GM,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0,2,85.76958985908941,8,101250.0,0.44,100,30445.0,6.47,1,36,0.0,False,False,-79.48061642186372,0.44,100.0,0.4448582420192499,AP26,0.17395956380358957
30:24:78:fe:96:21,1970-01-01 00:27:59.085685396,52.2501966666667,-2.88743,2.29999995231628,-90,BTHub6-PS3C,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0,0,100.0,29,101250.0,0.0,100,30445.0,9.87,1,36,0.0,False,False,-79.4804558953367,0.0,100.0,0.4448582420192499,AP15,0.10040012220778705
32:24:78:fe:97:22,1970-01-01 00:27:59.085685396,52.2501966666667,-2.88743,2.29999995231628,-91,BTWi-fi,OPEN,2,5180,[ESS],1,0,-1,107.97751623277094,20,101250.0,0.0,100,30445.0,2.45,1,48,0.0,False,False,-79.4803756320732,0.0,100.0,0.4448582420192499,AP35,0.2344061690709767
32:24:78:fe:97:23,1970-01-01 00:27:59.085685396,52.2501966666667,-2.88743,2.29999995231628,-93,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],1,0,-3,125.89254117941675,15,101250.0,0.0,100,30445.0,5.21,1,150,0.0,False,False,-79.4802151055462,0.0,100.0,0.4448582420192499,AP26,0.1764923368714302
6a:58:80:00:ce:c6,1970-01-01 00:27:59.085695494,52.2511633333333,-2.88625166666667,2.29999995231628,-76,BTWi-fi,OPEN,0,2412,[ESS],16,0,14,34.14548873833603,29,175750.0,0.93,100,52795.0,9.0,0,12,134.11973812316393,True,False,-79.48157958102577,0.93,100.0,0.4448582420192499,AP15,0.10136707439198016
78:dd:12:2a:c2:c6,1970-01-01 00:27:59.085761521,52.2518033333333,-2.88507833333333,2.09999990463257,-79,BT-38A258,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],4,0,11,42.98662347082277,14,101250.0,1.47,100,30445.0,6.63,1,54,0.0,False,False,-79.48133879123525,1.47,100.0,0.4448582420192499,AP31,0.21048968726298656
78:dd:12:2a:c2:c7,1970-01-01 00:27:59.085761521,52.2518033333333,-2.88507833333333,2.09999990463257,-72,BT-38A258,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],21,0,18,25.118864315095795,10,175750.0,3.27,92,52791.0,7.32,0,36,0.0,False,False,-79.48190063407978,3.27,92.0,0.4448582420192499,AP28,0.1874362091283417
3c:89:94:08:42:d5,1970-01-01 00:27:59.085868106,52.25133,-2.88590666666667,13.3000001907349,-73,SKYD4B8D,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],20,0,17,27.12272579332028,15,101250.0,2.12,98,30444.0,6.36,1,6,0.0,False,False,-79.48182037081628,2.12,98.0,0.4448582420192499,AP37,0.24679643734581094
0c:8e:29:55:a8:dc,1970-01-01 00:27:59.085878370,52.25133,-2.88590666666667,13.3000001907349,-55,BT-CSAFS3,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],3571,0,35,6.812920690579613,19,175750.0,3.5,84,52787.0,9.41,0,36,0.0,False,False,-79.48326510955935,3.5,84.0,0.4448582420192499,AP34,0.22971542426405275
6a:d4:2e:77:d0:de,1970-01-01 00:27:59.092019584,52.2521066666667,-2.88998,6.19999980926514,-60,BTWi-fi,OPEN,0,2462,[ESS],1633,0,30,10.0,11,175750.0,5.0,81,52785.5,5.69,0,72,33.017109822702245,True,False,-79.48286379324183,5.0,81.0,0.4448582420192499,AP45,0.3024720331827038
cc:d4:2e:77:d0:dd,1970-01-01 00:27:59.092019584,52.2521066666667,-2.88998,6.19999980926514,-60,BT-CSAFS3,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1610,0,30,10.0,25,175750.0,2.31,95,52792.5,5.18,0,36,0.0,False,False,-79.48286379324183,2.31,95.0,0.4448582420192499,AP37,0.2516636177058654
62:99:b2:11:95:21,1970-01-01 00:27:59.092019584,52.2521066666667,-2.88998,6.19999980926514,-72,BTWi-fi,OPEN,0,2437,[ESS],344,0,18,25.118864315095795,28,175750.0,1.24,100,52795.0,8.82,0,18,0.0,False,False,-79.48190063407978,1.24,100.0,0.4448582420192499,AP18,0.12097872453574177
c8:99:b2:11:95:20,1970-01-01 00:27:59.092019585,52.2521066666667,-2.88998,6.19999980926514,-73,BT-JSC2NZ,WPA2,0,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],284,0,17,27.12272579332028,16,175750.0,2.0,99,52794.5,8.75,0,300,0.0,False,False,-79.48182037081628,2.0,99.0,0.4448582420192499,AP19,0.12807360035979728
c8:99:b2:11:95:1f,1970-01-01 00:27:59.092019587,52.2521066666667,-2.88998,6.19999980926514,-91,BT-JSC2NZ,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],10,0,-1,107.97751623277094,9,101250.0,0.0,100,30445.0,6.65,1,72,0.0,False,False,-79.4803756320732,0.0,100.0,0.4448582420192499,AP23,0.15662839129319894
7a:99:b2:11:95:18,1970-01-01 00:27:59.092019587,52.2521066666667,-2.88998,6.19999980926514,-90,BTWi-fi,OPEN,2,5180,[ESS],14,0,0,100.0,27,101250.0,0.0,100,30445.0,7.12,1,150,0.0,False,False,-79.4804558953367,0.0,100.0,0.4448582420192499,AP22,0.15132604813371295
7a:99:b2:11:95:19,1970-01-01 00:27:59.092019588,52.2521066666667,-2.88998,6.19999980926514,-91,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],10,0,-1,107.97751623277094,26,101250.0,0.0,100,30445.0,3.34,0,48,0.0,False,False,-79.4803756320732,0.0,100.0,0.4448582420192499,AP32,0.21792468758949524
3c:89:94:08:42:d2,1970-01-01 00:27:59.092029779,52.2521066666667,-2.88998,6.19999980926514,-76,SKYD4B8D,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],120,0,14,34.14548873833603,5,175750.0,4.67,91,52790.5,3.9,0,18,0.0,False,False,-79.48157958102577,4.67,91.0,0.4448582420192499,AP37,0.2518822331486419
0c:f9:c0:6f:eb:96,1970-01-01 00:27:59.092029779,52.2521066666667,-2.88998,6.19999980926514,-80,SKYD4B8D,WPA2,0,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],16,0,10,46.4158883361278,9,175750.0,2.0,99,52794.5,5.0,0,24,0.0,False,False,-79.48125852797175,2.0,99.0,0.4448582420192499,AP26,0.17370852099471792
0c:f9:c0:88:6b:0e,1970-01-01 00:27:59.092029780,52.2521066666667,-2.88998,6.19999980926514,-87,SKYD4B8D,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1,0,3,79.43282347242814,19,175750.0,0.3,100,52795.0,9.4,0,48,0.0,False,False,-79.48069668512721,0.3,100.0,0.4448582420192499,AP7,0.05111272996869035
50:70:43:ad:f7:2d,1970-01-01 00:27:59.092029781,52.2521066666667,-2.88998,6.19999980926514,-91,SKYHMT9M,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2,0,-1,107.97751623277094,8,101250.0,0.0,100,30445.0,9.68,1,72,0.0,False,False,-79.4803756320732,0.0,100.0,0.4448582420192499,AP15,0.10051728018208787
a0:bd:cd:f5:ec:d2,1970-01-01 00:27:59.092034918,52.2521066666667,-2.88998,6.19999980926514,-70,SKY1B6PK,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],17,0,20,21.544346900318832,14,175750.0,2.67,94,52792.0,2.19,0,300,0.0,False,True,-79.48206116060679,2.67,94.0,0.4448582420192499,AP41,0.2787714522111229
18:82:8c:c5:64:aa,1970-01-01 00:27:59.092050178,52.2520933333333,-2.88995,6.30000019073486,-67,BT-72AJRN,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],30,0,23,17.11328304161781,24,175750.0,1.84,100,52795.0,9.22,0,150,2.523597808760752,False,False,-79.4823019503973,1.84,100.0,0.4448582420192499,AP20,0.13575142559179212
18:82:8c:70:ec:e9,1970-01-01 00:27:59.092050179,52.2520933333333,-2.88995,6.30000019073486,-70,BT-72AJRN,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],7,0,20,21.544346900318832,25,175750.0,1.54,100,52795.0,9.77,0,48,0.0,False,False,-79.48206116060679,1.54,100.0,0.4448582420192499,AP17,0.11277550590276926
72:82:8c:c5:64:ab,1970-01-01 00:27:59.092050179,52.2520933333333,-2.88995,6.30000019073486,-70,BTWi-fi,OPEN,0,2412,[ESS],29,0,20,21.544346900318832,21,175750.0,1.82,100,52795.0,8.72,0,24,0.0,False,False,-79.48206116060679,1.82,100.0,0.4448582420192499,AP20,0.1346341596936527
3c:89:94:14:50:ea,1970-01-01 00:27:59.092050180,52.2520933333333,-2.88995,6.30000019073486,-78,SKYSNMC5,WPA2,0,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],20,0,12,39.81071705534973,20,175750.0,1.14,100,52795.0,4.23,0,36,0.0,False,False,-79.48141905449876,1.14,100.0,0.4448582420192499,AP27,0.1847083436467074
a0:bd:cd:92:c8:72,1970-01-01 00:27:59.092055278,52.2520933333333,-2.88995,6.30000019073486,-94,SKY24322,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],3,0,-4,135.93563908785256,23,175750.0,0.0,100,52795.0,5.34,0,18,0.0,False,False,-79.48013484228268,0.0,100.0,0.4448582420192499,AP15,0.09990173847316704
bc:30:d9:86:40:f6,1970-01-01 00:27:59.092156540,52.2509916666667,-2.88831166666667,6.30000019073486,-87,BTHub6-X63Z,WPA2,2,5240,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],7,0,3,79.43282347242814,5,101250.0,1.0,100,30445.0,8.9,1,18,165.66329546202894,True,False,-79.48069668512721,1.0,100.0,0.4448582420192499,AP20,0.13718934304068534
90:02:18:68:03:5c,1970-01-01 00:27:59.092166726,52.2509916666667,-2.88831166666667,6.30000019073486,-88,SKYB65YC,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],7,0,2,85.76958985908941,18,175750.0,0.21,100,52795.0,5.5,0,12,0.0,False,False,-79.48061642186372,0.21,100.0,0.4448582420192499,AP18,0.11915759578533948
48:e1:e9:8c:9a:2f,1970-01-01 00:27:59.092176885,52.2509816666667,-2.88828,6.40000009536743,-95,Meross_SW_9A2F,OPEN,0,2412,[ESS],1,0,-5,146.7799267622069,27,175750.0,0.0,100,52795.0,9.14,0,54,2.4255648982097693,False,False,-79.48005457901918,0.0,100.0,0.4448582420192499,AP4,0.026130007558578985
e4:75:dc:e9:88:23,1970-01-01 00:27:59.092192287,52.2509816666667,-2.88828,6.40000009536743,-58,BT-HGA3Q9,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],49,0,32,8.576958985908941,12,175750.0,4.92,80,52785.0,6.38,0,48,0.0,False,True,-79.48302431976884,4.92,80.0,0.4448582420192499,AP44,0.29845428852602124
7a:75:dc:e9:88:24,1970-01-01 00:27:59.092192288,52.2509816666667,-2.88828,6.40000009536743,-58,BTWi-fi,OPEN,0,2412,[ESS],45,0,32,8.576958985908941,7,175750.0,8.0,75,52782.5,2.34,0,36,0.0,False,False,-79.48302431976884,8.0,75.0,0.4448582420192499,AP62,0.41306083680987743
a0:b5:3c:0f:9e:f0,1970-01-01 00:27:59.092192291,52.2509816666667,-2.88828,6.40000009536743,-86,vodafone0F9EF0,WPA2,0,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],5,0,4,73.56422544596414,28,175750.0,0.28,100,52795.0,3.97,0,36,0.0,False,False,-79.48077694839073,0.28,100.0,0.4448582420192499,AP23,0.15489720254371794
c8:54:4b:8d:a7:bf,1970-01-01 00:27:59.092197445,52.2509816666667,-2.88828,6.40000009536743,-93,ZyXEL8DA7BE,WPA2,0,2412,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],1,0,-3,125.89254117941675,21,175750.0,0.0,100,52795.0,8.61,0,72,0.0,False,False,-79.4802151055462,0.0,100.0,0.4448582420192499,AP6,0.04274754346182919
9c:31:c3:44:36:f2,1970-01-01 00:27:59.092207730,52.2509716666667,-2.88824,6.5,-76,SKYB65YC,WPA2,0,2437,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],12,0,14,34.14548873833603,18,175750.0,1.47,100,52795.0,6.07,0,18,2.941246832533431,False,False,-79.48157958102577,1.47,100.0,0.4448582420192499,AP24,0.16028230881937186
50:70:43:b2:a3:82,1970-01-01 00:27:59.092212865,52.2509716666667,-2.88824,6.5,-66,SKYNZWSB,WPA2,0,2462,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],26,0,24,15.848931924611133,16,175750.0,2.82,92,52791.0,9.14,0,24,0.0,False,False,-79.48238221366081,2.82,92.0,0.4448582420192499,AP25,0.1702606893831671
d0:58:fc:94:79:8b,1970-01-01 00:27:59.092212868,52.2509716666667,-2.88824,6.5,-89,SKYNZWSB,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],3,0,1,92.61187281287933,9,101250.0,0.2,100,30445.0,8.15,1,18,0.0,False,False,-79.4805361586002,0.2,100.0,0.4448582420192499,AP20,0.137377769851313
62:fe:3b:70:6f:e9,1970-01-01 00:27:59.092223158,52.2509716666667,-2.88824,6.5,-65,BTWi-fi,OPEN,0,2462,[ESS],68,0,25,14.6779926762207,28,175750.0,1.72,100,52795.0,5.4,0,54,0.0,False,True,-79.48246247692431,1.72,100.0,0.4448582420192499,AP32,0.21226022627249438
